DayDummy,Date,Hour,semesterBool,TMAX,TMIN,kW
1,31,7,1,73,51,2
1,31,8,1,73,51,2
1,31,9,1,73,51,3
1,31,10,1,73,51,3
1,31,11,1,73,51,3
1,31,12,1,73,51,3
1,31,13,1,73,51,3
1,31,14,1,73,51,3
1,31,15,1,73,51,3
1,31,16,1,73,51,3
1,31,17,1,73,51,3
1,31,18,1,73,51,3
1,31,19,1,73,51,3
1,31,20,1,73,51,2
1,31,21,1,73,51,2
1,31,22,1,73,51,2
1,31,23,1,73,51,2
1,1,0,1,75,54,1
1,1,1,1,75,54,1
1,1,2,1,75,54,1
1,1,3,1,75,54,1
1,1,4,1,75,54,1
1,1,5,1,75,54,1
1,1,6,1,75,54,1
1,1,7,1,75,54,2
1,1,8,1,75,54,2
1,1,9,1,75,54,3
1,1,10,1,75,54,3
1,1,11,1,75,54,3
1,1,12,1,75,54,3
1,1,13,1,75,54,3
1,1,14,1,75,54,3
1,1,15,1,75,54,3
1,1,16,1,75,54,3
1,1,17,1,75,54,3
1,1,18,1,75,54,3
1,1,19,1,75,54,2
1,1,20,1,75,54,2
1,1,21,1,75,54,2
1,1,22,1,75,54,2
1,1,23,1,75,54,2
0,2,0,1,73,56,1
0,2,1,1,73,56,1
0,2,2,1,73,56,1
0,2,3,1,73,56,1
0,2,4,1,73,56,1
0,2,5,1,73,56,1
0,2,6,1,73,56,1
0,2,7,1,73,56,1
0,2,8,1,73,56,2
0,2,9,1,73,56,1
0,2,10,1,73,56,1
0,2,11,1,73,56,2
0,2,12,1,73,56,2
0,2,13,1,73,56,2
0,2,14,1,73,56,2
0,2,15,1,73,56,2
0,2,16,1,73,56,2
0,2,17,1,73,56,2
0,2,18,1,73,56,2
0,2,19,1,73,56,2
0,2,20,1,73,56,2
0,2,21,1,73,56,1
0,2,22,1,73,56,1
0,2,23,1,73,56,1
0,3,0,1,67,56,1
0,3,1,1,67,56,1
0,3,2,1,67,56,1
0,3,3,1,67,56,1
0,3,4,1,67,56,1
0,3,5,1,67,56,1
0,3,6,1,67,56,1
0,3,7,1,67,56,1
0,3,8,1,67,56,1
0,3,9,1,67,56,1
0,3,10,1,67,56,2
0,3,11,1,67,56,2
0,3,12,1,67,56,2
0,3,13,1,67,56,2
0,3,14,1,67,56,2
0,3,15,1,67,56,2
0,3,16,1,67,56,2
0,3,17,1,67,56,2
0,3,18,1,67,56,2
0,3,19,1,67,56,2
0,3,20,1,67,56,2
0,3,21,1,67,56,2
0,3,22,1,67,56,2
0,3,23,1,67,56,1
1,4,0,1,66,55,1
1,4,1,1,66,55,1
1,4,2,1,66,55,1
1,4,3,1,66,55,1
1,4,4,1,66,55,1
1,4,5,1,66,55,1
1,4,6,1,66,55,1
1,4,7,1,66,55,1
1,4,8,1,66,55,2
1,4,9,1,66,55,2
1,4,10,1,66,55,3
1,4,11,1,66,55,3
1,4,12,1,66,55,3
1,4,13,1,66,55,3
1,4,14,1,66,55,3
1,4,15,1,66,55,3
1,4,16,1,66,55,3
1,4,17,1,66,55,3
1,4,18,1,66,55,3
1,4,19,1,66,55,3
1,4,20,1,66,55,2
1,4,21,1,66,55,2
1,4,22,1,66,55,2
1,4,23,1,66,55,2
1,5,0,1,67,50,2
1,5,1,1,67,50,2
1,5,2,1,67,50,1
1,5,3,1,67,50,1
1,5,4,1,67,50,1
1,5,5,1,67,50,1
1,5,6,1,67,50,1
1,5,7,1,67,50,2
1,5,8,1,67,50,2
1,5,9,1,67,50,3
1,5,10,1,67,50,3
1,5,11,1,67,50,3
1,5,12,1,67,50,3
1,5,13,1,67,50,3
1,5,14,1,67,50,3
1,5,15,1,67,50,3
1,5,16,1,67,50,3
1,5,17,1,67,50,3
1,5,18,1,67,50,3
1,5,19,1,67,50,2
1,5,20,1,67,50,2
1,5,21,1,67,50,2
1,5,22,1,67,50,2
1,5,23,1,67,50,1
1,6,0,1,56,42,1
1,6,1,1,56,42,1
1,6,2,1,56,42,1
1,6,3,1,56,42,1
1,6,4,1,56,42,1
1,6,5,1,56,42,1
1,6,6,1,56,42,1
1,6,7,1,56,42,2
1,6,8,1,56,42,2
1,6,9,1,56,42,3
1,6,10,1,56,42,3
1,6,11,1,56,42,3
1,6,12,1,56,42,3
1,6,13,1,56,42,3
1,6,14,1,56,42,3
1,6,15,1,56,42,3
1,6,16,1,56,42,3
1,6,17,1,56,42,3
1,6,18,1,56,42,3
1,6,19,1,56,42,3
1,6,20,1,56,42,2
1,6,21,1,56,42,2
1,6,22,1,56,42,2
1,6,23,1,56,42,2
1,7,0,1,57,36,2
1,7,1,1,57,36,1
1,7,2,1,57,36,2
1,7,3,1,57,36,1
1,7,4,1,57,36,1
1,7,5,1,57,36,1
1,7,6,1,57,36,1
1,7,7,1,57,36,2
1,7,8,1,57,36,2
1,7,9,1,57,36,3
1,7,10,1,57,36,3
1,7,11,1,57,36,3
1,7,12,1,57,36,3
1,7,13,1,57,36,3
1,7,14,1,57,36,3
1,7,15,1,57,36,3
1,7,16,1,57,36,3
1,7,17,1,57,36,3
1,7,18,1,57,36,3
1,7,19,1,57,36,3
1,7,20,1,57,36,2
1,7,21,1,57,36,2
1,7,22,1,57,36,3
1,7,23,1,57,36,2
1,8,0,1,67,38,2
1,8,1,1,67,38,2
1,8,2,1,67,38,1
1,8,3,1,67,38,1
1,8,4,1,67,38,1
1,8,5,1,67,38,1
1,8,6,1,67,38,2
1,8,7,1,67,38,2
1,8,8,1,67,38,3
1,8,9,1,67,38,3
1,8,10,1,67,38,3
1,8,11,1,67,38,3
1,8,12,1,67,38,3
1,8,13,1,67,38,3
1,8,14,1,67,38,3
1,8,15,1,67,38,3
1,8,16,1,67,38,3
1,8,17,1,67,38,3
1,8,18,1,67,38,3
1,8,19,1,67,38,3
1,8,20,1,67,38,2
1,8,21,1,67,38,2
1,8,22,1,67,38,2
1,8,23,1,67,38,2
0,9,0,1,59,44,2
0,9,1,1,59,44,1
0,9,2,1,59,44,1
0,9,3,1,59,44,1
0,9,4,1,59,44,1
0,9,5,1,59,44,1
0,9,6,1,59,44,1
0,9,7,1,59,44,1
0,9,8,1,59,44,1
0,9,9,1,59,44,1
0,9,10,1,59,44,2
0,9,11,1,59,44,2
0,9,12,1,59,44,2
0,9,13,1,59,44,2
0,9,14,1,59,44,2
0,9,15,1,59,44,2
0,9,16,1,59,44,2
0,9,17,1,59,44,2
0,9,18,1,59,44,2
0,9,19,1,59,44,2
0,9,20,1,59,44,2
0,9,21,1,59,44,2
0,9,22,1,59,44,2
0,9,23,1,59,44,2
0,10,0,1,66,38,2
0,10,1,1,66,38,1
0,10,2,1,66,38,1
0,10,3,1,66,38,1
0,10,4,1,66,38,1
0,10,5,1,66,38,1
0,10,6,1,66,38,1
0,10,7,1,66,38,1
0,10,8,1,66,38,1
0,10,9,1,66,38,1
0,10,10,1,66,38,2
0,10,11,1,66,38,2
0,10,12,1,66,38,2
0,10,13,1,66,38,2
0,10,14,1,66,38,2
0,10,15,1,66,38,2
0,10,16,1,66,38,2
0,10,17,1,66,38,2
0,10,18,1,66,38,2
0,10,19,1,66,38,2
0,10,20,1,66,38,2
0,10,21,1,66,38,1
0,10,22,1,66,38,2
0,10,23,1,66,38,1
1,11,0,1,59,43,1
1,11,1,1,59,43,1
1,11,2,1,59,43,1
1,11,3,1,59,43,1
