kW,DayDummy,Date,Hour,semesterBool,TMAX,TMIN
535.6919937,0,27,19,1,73,45
512.9922485,0,27,20,1,73,45
496.6335068,0,27,21,1,73,45
508.1420059,0,27,22,1,73,45
513.9664993,0,27,23,1,73,45
511.2997437,1,28,0,1,72,47
483.6660004,1,28,1,1,72,47
473.6240005,1,28,2,1,72,47
484.1982498,1,28,3,1,72,47
467.6392593,1,28,4,1,72,47
476.371994,1,28,5,1,72,47
499.630249,1,28,6,1,72,47
496.3442535,1,28,7,1,72,47
520.9132385,1,28,8,1,72,47
559.162735,1,28,9,1,72,47
598.1582642,1,28,10,1,72,47
631.8022614,1,28,11,1,72,47
620.7072449,1,28,12,1,72,47
591.8077393,1,28,13,1,72,47
626.3967438,1,28,14,1,72,47
590.5449982,1,28,15,1,72,47
624.1307678,1,28,16,1,72,47
584.3954926,1,28,17,1,72,47
569.6705017,1,28,18,1,72,47
582.8215027,1,28,19,1,72,47
542.2252502,1,28,20,1,72,47
531.4377594,1,28,21,1,72,47
534.087738,1,28,22,1,72,47
517.3127441,1,28,23,1,72,47
510.3130112,1,29,0,1,71,51
483.4127502,1,29,1,1,71,51
493.6042557,1,29,2,1,71,51
489.1122513,1,29,3,1,71,51
496.1199951,1,29,4,1,71,51
500.3444977,1,29,5,1,71,51
496.7532425,1,29,6,1,71,51
503.8115005,1,29,7,1,71,51
546.5054932,1,29,8,1,71,51
579.0262451,1,29,9,1,71,51
622.9807587,1,29,10,1,71,51
616.4864807,1,29,11,1,71,51
605.8017578,1,29,12,1,71,51
594.1542664,1,29,13,1,71,51
614.2262421,1,29,14,1,71,51
621.4892426,1,29,15,1,71,51
554.3690186,1,29,16,1,71,51
595.6910095,1,29,17,1,71,51
573.3552551,1,29,18,1,71,51
562.5142517,1,29,19,1,71,51
559.3342438,1,29,20,1,71,51
535.3274994,1,29,21,1,71,51
562.134491,1,29,22,1,71,51
519.1787643,1,29,23,1,71,51
491.8287582,1,30,0,1,74,55
496.8034973,1,30,1,1,74,55
514.736763,1,30,2,1,74,55
495.4532471,1,30,3,1,74,55
478.8030014,1,30,4,1,74,55
505.1527557,1,30,5,1,74,55
528.1195068,1,30,6,1,74,55
524.6152496,1,30,7,1,74,55
535.6994934,1,30,8,1,74,55
574.8505096,1,30,9,1,74,55
610.6779785,1,30,10,1,74,55
642.9829865,1,30,11,1,74,55
618.5067291,1,30,12,1,74,55
613.8712311,1,30,13,1,74,55
654.7619934,1,30,14,1,74,55
611.6519928,1,30,15,1,74,55
604.5307465,1,30,16,1,74,55
583.0547638,1,30,17,1,74,55
593.5622406,1,30,18,1,74,55
567.6839905,1,30,19,1,74,55
568.2942505,1,30,20,1,74,55
555.1807404,1,30,21,1,74,55
534.2389984,1,30,22,1,74,55
505.7614975,1,30,23,1,74,55
507.2117538,1,31,0,1,73,51
492.7282562,1,31,1,1,73,51
487.2114944,1,31,2,1,73,51
498.9524994,1,31,3,1,73,51
494.0939941,1,31,4,1,73,51
485.9769974,1,31,5,1,73,51
512.5517578,1,31,6,1,73,51
509.710495,1,31,7,1,73,51
527.3057404,1,31,8,1,73,51
569.6195068,1,31,9,1,73,51
595.4704895,1,31,10,1,73,51
622.1734924,1,31,11,1,73,51
605.039978,1,31,12,1,73,51
584.0167389,1,31,13,1,73,51
597.4617462,1,31,14,1,73,51
604.0617523,1,31,15,1,73,51
590.7745056,1,31,16,1,73,51
577.5137634,1,31,17,1,73,51
557.8265076,1,31,18,1,73,51
566.7615051,1,31,19,1,73,51
549.0510101,1,31,20,1,73,51
531.5427399,1,31,21,1,73,51
523.7347565,1,31,22,1,73,51
512.9349976,1,31,23,1,73,51
489.1512451,1,1,0,1,75,54
488.5257492,1,1,1,1,75,54
470.108757,1,1,2,1,75,54
475.0665054,1,1,3,1,75,54
480.8327484,1,1,4,1,75,54
486.8909912,1,1,5,1,75,54
496.8402557,1,1,6,1,75,54
505.5905075,1,1,7,1,75,54
540.0175018,1,1,8,1,75,54
560.3265076,1,1,9,1,75,54
599.6704865,1,1,10,1,75,54
630.669754,1,1,11,1,75,54
613.4554901,1,1,12,1,75,54
606.3932495,1,1,13,1,75,54
618.1397552,1,1,14,1,75,54
631.1864929,1,1,15,1,75,54
586.8052368,1,1,16,1,75,54
569.8224945,1,1,17,1,75,54
550.3604889,1,1,18,1,75,54
538.9794922,1,1,19,1,75,54
525.3899994,1,1,20,1,75,54
515.1537476,1,1,21,1,75,54
521.6379929,1,1,22,1,75,54
515.3827438,1,1,23,1,75,54
484.8157501,0,2,0,1,73,56
479.3324966,0,2,1,1,73,56
473.6492538,0,2,2,1,73,56
479.5402527,0,2,3,1,73,56
